"country,value"
"""Argentina"",22300"
"""Austria"",17300"
"""Bangladesh"",14800"
"""Belgium"",21200"
"""Chile"",24100"
"""Colombia"",15500"
"""Denmark"",28300"
"""Fiji"",40800"
"""Finland"",15400"
"""Greece"",9700"
"""Iran"",13500"
"""Ireland"",58700"
"""Isarael"",14100"
"""Mexico"",10800"
"""Netherland"",55000"
"""New Caledonia"",50100"
"""New Zealand"",1357000"
"""Norway"",22100"
"""Other Americas"",18800"
"""Other North-East Asia"",12400"
"""Other North-East Europe"",3800"
"""Other Oceania and Antarctica"",35000"
"""Other South-East Asia"",31100"
"""Other Southern and Central Asia"",24800"
"""Other Southern and Eastern Europe"",60400"
"""Pakistan"",17100"
"""Papua New Guinea"",50800"
"""Philippines"",123900"
"""Poland"",18800"
"""Russian Federation"",15000"
"""Saudi Arabia"",13200"
"""South Africa"",55800"
"""Spain"",40300"
"""Sri Lanka"",33900"
"""Sweden"",48700 "
"""Switzerland"",54800"
"""Taiwan"",178000"
"""Thailand"",98100"
"""United Arab Emirates"",44300"
"""Vanuatu"",12800"
"""Vietnam"",89000"
"""Brazil"",54200"
"""Canada"",182400"
"""China"",1339800"
"""France"",129200"
"""Germany"",207100"
"""Hong Kong"",275100"
"""India"",294000"
"""Indonesia"",194700"
"""Italy"",75900"
"""Japan"",432900"
"""Malaysia"",399100"
"""Singapore"",438100"
"""South Korea"",298200"
"""United Kingdom"",717200"
"""United States of America"",770700"
